step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
290.0,38,2584.0,50.666666666666664,3.0492799262036656,19,2935.0,0.05,0,0.0,0.625665294073473,19,3240.0,0.09046229080725215,0,0.0,1.0,38,6175.0
295.0,35,2470.0,47.5,3.065551291102949,19,3030.0,0.09256178586152015,0,0.0,0.32852545817806855,16,3072.0,0.07086179727019434,0,0.0,1.0,35,6102.0
300.0,29,1918.0,39.142857142857146,3.430554461527955,16,2889.0,0.1104313581057991,0,0.0,0.905597177459281,13,2646.0,0.06449518212851074,0,4.0,0.8819234774497696,29,5539.0
305.0,20,1273.0,25.46,4.424807328672111,11,2501.0,0.2063980877818274,0,2.0,0.9501077928494235,9,2695.0,0.0873220741091009,0,4.0,0.8898420190461463,20,5202.0
310.0,16,689.0,13.25,4.650206845256696,7,2327.0,0.277410527679067,0,2.0,0.8300284415370763,8,2732.0,0.07320953589991777,1,4.0,0.39722785234914715,16,5065.0
315.0,17,172.0,3.3076923076923075,3.8520593436777895,5,2356.0,0.23058348074876825,1,3.0,0.471884539583279,7,2766.0,0.165072050801156,4,18.0,0.00016063555019199153,17,5143.0
320.0,22,131.0,2.62,3.3451939898717744,6,2383.0,0.17195283180206125,4,15.0,0.002130539254251507,8,2560.0,0.24389787178718522,4,39.0,0.31214844823487997,22,4997.0
325.0,23,178.0,3.56,3.19750646841685,9,2422.0,0.07270550453480089,4,35.0,1.0448032645868284e-05,7,2108.0,0.24694765015411174,3,49.0,0.5784978274341147,23,4614.0
330.0,25,263.0,5.0576923076923075,2.7307596643740335,12,2480.0,0.0037277322438110066,4,55.0,0.19648307326455527,6,2135.0,0.12874375001052024,3,63.0,0.5112926658157316,25,4733.0
335.0,33,391.0,7.2407407407407405,2.461432225901829,16,2555.0,0.00023096166536437415,4,75.0,0.29037603908795895,7,2165.0,0.12358886637985345,6,85.0,0.002219278769787752,33,4880.0
340.0,30,426.0,8.037735849056604,2.4288247060535926,13,2387.0,0.08248262486244454,4,95.0,0.18652726342163423,6,1950.0,0.08623797103644955,7,120.0,0.07294269114202649,30,4552.0
345.0,23,401.0,7.862745098039215,3.52237454525408,8,1955.0,0.15973540639456868,4,117.0,0.37566862168433846,5,1511.0,0.0760071728399946,6,145.0,0.344650719614096,23,3728.0
350.0,16,384.0,7.68,3.8930761587450364,4,1769.0,0.22980911798187664,4,137.0,0.3395931074543216,2,1521.0,0.1721419501147959,6,175.0,0.3023270097939607,16,3602.0
355.0,21,382.0,7.490196078431373,2.9633423803653827,3,1785.0,0.18727074331104474,6,161.0,0.04526980838247657,4,1533.0,0.19228863039962105,8,212.0,0.008148012287502266,21,3691.0
360.0,30,518.0,10.156862745098039,2.3696754802045197,6,1811.0,0.15142634891748993,8,197.0,0.0001240346954348235,7,1562.0,0.11187276168690634,9,257.0,0.0,30,3827.0
365.0,37,688.0,14.040816326530612,1.2180498491779082,9,1850.0,0.14244922780272382,8,237.0,0.11111303833738566,11,1608.0,0.06995158813228396,9,302.0,0.0,37,3997.0
370.0,44,887.0,18.102040816326532,1.1511585586170332,13,1906.0,0.06768236477921234,8,277.0,0.10596725840350535,14,1666.0,0.04764431444829249,9,347.0,0.0,44,4196.0
375.0,44,1107.0,22.14,1.5014018002352347,13,1971.0,0.07029087086624432,8,317.0,0.07000662831238208,14,1736.0,0.06495981189501293,9,392.0,0.0,44,4416.0
380.0,41,1242.0,24.352941176470587,1.8653663423638902,13,2036.0,0.06899249426499425,8,357.0,0.10605219252255228,11,1552.0,0.15300495746207232,9,437.0,0.0,41,4382.0
385.0,37,1310.0,25.192307692307693,2.385485157098122,13,2101.0,0.060377047055728376,8,397.0,0.1896515530110837,7,1159.0,0.19172483237681687,9,484.0,0.23775380035192736,37,4141.0
390.0,36,1394.0,26.807692307692307,1.5405821692515584,14,2168.0,2.0564709029753805e-05,8,437.0,0.10980587113708629,4,1180.0,0.11705854456083845,10,530.0,0.1705508161806015,36,4315.0
395.0,35,1295.0,23.98148148148148,2.2044359130178792,14,2238.0,0.06666666666666667,5,391.0,0.16096208907919748,4,1203.0,0.16315596568229285,12,584.0,0.07140832552889903,35,4416.0
400.0,35,1223.0,22.236363636363638,2.632997317810672,15,2309.0,3.4713498140140524e-05,1,251.0,0.3104740310543642,7,1233.0,0.13048679673228833,12,644.0,0.07110905417170434,35,4437.0
405.0,39,1405.0,27.01923076923077,1.5887144931130557,15,2384.0,0.0,2,254.0,0.11754281624602718,10,1275.0,0.005506071397248679,12,704.0,0.0,39,4617.0
410.0,45,1619.0,31.745098039215687,1.568812619379176,15,2459.0,0.06002038773839144,5,272.0,0.00010416935934236748,13,1336.0,0.00013540143435434972,12,766.0,0.1359592857023177,45,4833.0
